X Field (G)	Y Field (G)	Z Field (G)	Field Mag (G)	Phi (Deg)	Theta (Deg)	S21 Abs (dB)	S12 Abs (dB)	S11 Abs (dB)
-18.398439	-2.034850	-0.126112	18.511053	-173.688792	90.390346	-27.634594	-27.103760	-18.503506
-19.530950	-1.743142	0.330754	19.611373	-174.899850	89.033638	-27.487196	-27.002569	-18.502657
-20.644157	-2.075603	-0.149706	20.748777	-174.258667	90.413401	-27.312588	-26.899162	-18.502392
-21.403454	-1.970503	0.096959	21.494188	-174.739909	89.741542	-27.305346	-26.879566	-18.502428
-21.980434	-2.307253	-0.078924	22.101337	-174.007693	90.204603	-27.211790	-26.814209	-18.502512
-22.658224	-2.515309	-0.319153	22.799644	-173.665482	90.802062	-27.108330	-26.746119	-18.501801
-23.882966	-2.680467	-0.029591	24.032932	-173.596297	90.070546	-27.027241	-26.689425	-18.501320
-25.412285	-2.440237	0.039046	25.529209	-174.514940	89.912368	-26.926517	-26.617939	-18.500515
-26.431115	-2.991478	0.111973	26.600100	-173.542732	89.758813	-26.855022	-26.568501	-18.500582
-26.948038	-3.006493	-0.134691	27.115565	-173.634048	90.284607	-26.809137	-26.533760	-18.500071
-27.808146	-2.616119	-0.021011	27.930941	-174.625577	90.043101	-26.768295	-26.501804	-18.500322
-28.455908	-3.169505	-0.143271	28.632236	-173.644418	90.286700	-26.723614	-26.472868	-18.499653
-29.938038	-3.263881	-0.048895	30.115468	-173.778117	90.093025	-26.680510	-26.441298	-18.499002
-31.126317	-3.504111	0.109828	31.323129	-173.576850	89.799104	-26.642374	-26.412882	-18.499187
-32.344624	-3.626371	-0.282690	32.548505	-173.602904	90.497631	-26.599838	-26.382822	-18.498390
-33.342005	-3.562023	-0.031736	33.531751	-173.902054	90.054227	-26.575645	-26.363762	-18.498962
-33.931855	-3.544864	0.135567	34.116788	-174.035939	89.772328	-26.556234	-26.348972	-18.498444
-35.302450	-3.690718	0.328609	35.496371	-174.031656	89.469575	-26.527637	-26.327908	-18.498293
-36.522902	-3.761500	0.006873	36.716091	-174.119830	89.989275	-26.493711	-26.301388	-18.498213
-36.992637	-3.519125	-0.136836	37.159900	-174.565782	90.210984	-26.481318	-26.292604	-18.498299
-38.551984	-3.969556	0.135567	38.756048	-174.121182	89.799581	-26.447454	-26.266159	-18.498072
-38.796504	-3.619936	0.034756	38.965034	-174.669409	89.948893	-26.434736	-26.257555	-18.498739

37.497835	7.988300	0.165596	38.339640	12.026150	89.752529	-26.332554	-26.360924	-18.498455
37.600790	7.657985	-0.093938	38.372816	11.511731	90.140262	-26.328939	-26.357048	-18.498571
37.191113	8.271428	-0.203328	38.100351	12.538697	90.305769	-26.333082	-26.361374	-18.498934
36.757842	8.194211	0.088379	37.660216	12.567128	89.865541	-26.339186	-26.370697	-18.498703
36.262368	7.760940	0.410115	37.085843	12.080303	89.366380	-26.352982	-26.391994	-18.498663
